Indicator,Latitude,Longitude
parking,41.98126174615384615384615385,-87.88689358461538461538461538
parking,41.98050639333333333333333333,-87.90399656666666666666666667
parking,41.97851641875,-87.9010902125
parking,41.97563688214285714285714286,-87.88871427857142857142857143
parking,41.78822634827586206896551724,-87.73999036436781609195402299
parking,42.02930990909090909090909091,-87.93515409090909090909090909
parking,42.02845447142857142857142857,-87.93288035714285714285714286
place_of_worship,41.92220891333333333333333333,-87.65390597
parking,41.93910492083333333333333333,-87.63586544166666666666666667
parking,41.93159718571428571428571429,-87.63564548214285714285714286
parking,41.91292180555555555555555556,-87.62511178888888888888888889
parking,41.86544122941176470588235294,-87.60892807647058823529411765
parking,41.93225032,-87.63557168
parking,41.93333898461538461538461538,-87.63467309230769230769230769
parking,41.96690085294117647058823529,-87.6445334
parking,41.963758772,-87.639719004
parking,41.92674544545454545454545455,-87.63326501818181818181818182
parking,41.92509702857142857142857143,-87.6327194
parking,41.92480575,-87.63484168125
parking,41.91955107179487179487179487,-87.63106792820512820512820513
parking,41.914311725,-87.6325862875
parking,41.83342804,-87.61286488
parking,41.83202705714285714285714286,-87.61237344285714285714285714
parking,41.8347801125,-87.6151623
parking,41.83697384,-87.6153068
parking,41.83304652,-87.63591278
parking,41.83176356666666666666666667,-87.6339092
parking,41.82912609523809523809523810,-87.63521444285714285714285714
theatre,41.92706417777777777777777778,-87.63079111111111111111111111
parking,41.94035352857142857142857143,-87.64592007142857142857142857
parking,41.97681624,-87.6477918
parking,41.95061693076923076923076923,-87.64160995384615384615384615
parking,41.92373782941176470588235294,-87.67215408235294117647058824
parking,41.92587733846153846153846154,-87.6733473
parking,41.92751801428571428571428571,-87.6734090
parking,41.92974334090909090909090909,-87.67699305909090909090909091
parking,41.95088186363636363636363636,-87.88182446363636363636363636
parking,41.98197614736842105263157895,-87.80928556315789473684210526
parking,41.98921406444444444444444444,-87.88208339777777777777777778
school,42.02400514210526315789473684,-87.77305364210526315789473684
school,42.00714375555555555555555556,-87.77899087777777777777777778
school,42.00812422857142857142857143,-87.77752011428571428571428571
parking,41.8919271,-87.6057924
parking,41.859367198,-87.615685744
parking,41.85656898292682926829268293,-87.61436438048780487804878049
parking,41.82643734285714285714285714,-87.63539474285714285714285714
parking,42.00887107,-87.76606758
parking,42.01140918,-87.76601244
parking,42.00875022222222222222222222,-87.76331482222222222222222222
parking,42.01234454,-87.77111682
planetarium,41.86638043611111111111111111,-87.60661064166666666666666667
parking,42.01383704285714285714285714,-87.7717658
parking,42.00021336,-87.76710968
fast_food,42.01244486,-87.76221988
restaurant,42.01231806666666666666666667,-87.77612985
parking,42.0114833,-87.77021614
restaurant,42.01227202,-87.76112122
parking,42.01306694615384615384615385,-87.75906267692307692307692308
college,42.01010179411764705882352941,-87.7608688
school,42.01086523333333333333333333,-87.75851326666666666666666667
parking,42.00961669,-87.75910447
parking,41.8433078,-87.61202770909090909090909091
parking,42.02441112,-87.71478416
fuel,42.01220328,-87.77390956
parking,41.78864435625,-87.58129561875
parking,41.7906209,-87.58049123913043478260869565
parking,41.7904443,-87.584489955
parking,41.79212412,-87.5831933
parking,41.78151902,-87.57655864666666666666666667
parking,41.78040663571428571428571429,-87.57554073571428571428571429
parking,41.78108583333333333333333333,-87.58315995
parking,41.77808431333333333333333333,-87.57871975333333333333333333
hospital,41.77743223225806451612903226,-87.57145335161290322580645161
parking,41.85931580555555555555555556,-87.61286071111111111111111111
parking,41.86130887777777777777777778,-87.61312694444444444444444444
parking,41.8642848875,-87.6166983625
parking,41.86566134666666666666666667,-87.61476842666666666666666667
theatre,41.86332586,-87.608580385
parking,41.86546321111111111111111111,-87.61299346666666666666666667
parking,41.86336952727272727272727273,-87.60948107272727272727272727
place_of_worship,41.88833015555555555555555556,-87.79687703111111111111111111
parking,42.02040468181818181818181818,-87.74916216363636363636363636
parking,42.02210333333333333333333333,-87.75052671111111111111111111
college,42.02129493636363636363636364,-87.74891774545454545454545455
parking,42.02580446,-87.74847476
school,42.0238855375,-87.7531171
parking,42.02501528888888888888888889,-87.7537177
university,41.924241116,-87.655128216
parking,41.92575274444444444444444444,-87.65410182222222222222222222
parking,41.924645775,-87.65332255
parking,42.02572188095238095238095238,-87.74497978095238095238095238
parking,42.02347108888888888888888889,-87.74320966666666666666666667
school,42.0298558,-87.76563728
parking,42.0306573,-87.76465586666666666666666667
parking,42.0211972,-87.74575669
parking,42.02561071666666666666666667,-87.75325156666666666666666667
parking,42.02572952,-87.7725245
parking,42.02607914,-87.7702088
parking,42.02423548,-87.76982822
parking,42.02363103333333333333333333,-87.77065328333333333333333333
parking,42.02267325,-87.75236406666666666666666667
library,42.02565214285714285714285714,-87.75801898571428571428571429
parking,42.02574311428571428571428571,-87.75898124285714285714285714
parking,42.02567583571428571428571429,-87.75633966428571428571428571
parking,42.02880178333333333333333333,-87.74877044166666666666666667
parking,42.03023931818181818181818182,-87.75067365454545454545454545
parking,42.02581858,-87.75462902
parking,42.00884652,-87.76436316
townhall,42.02594344,-87.75608941
post_office,42.03208104444444444444444444,-87.75176082222222222222222222
parking,42.03116413225806451612903226,-87.86744387096774193548387097
grave_yard,41.97711511333333333333333333,-87.73190840666666666666666667
grave_yard,41.98625282222222222222222222,-87.73116088888888888888888889
grave_yard,41.98066007333333333333333333,-87.73430264
parking,41.96855615454545454545454545,-87.64338567272727272727272727
school,42.0193354,-87.72767855
school,42.02680448333333333333333333,-87.72699635833333333333333333
school,42.03241266818181818181818182,-87.75473187272727272727272727
batting_cage,42.0317979,-87.91330026
parking,42.03351464705882352941176471,-87.91331606470588235294117647
university,41.9781978,-87.71873201904761904761904762
school,41.9848198,-87.79183744285714285714285714
school,41.97210984285714285714285714,-87.75612467142857142857142857
school,41.98038862,-87.76664458
school,41.96405358333333333333333333,-87.69182606666666666666666667
school,41.96594472857142857142857143,-87.7144832
school,41.96615572222222222222222222,-87.72160565555555555555555556
school,41.96390318,-87.7237251
school,41.95688322857142857142857143,-87.64782971428571428571428571
school,41.95500371666666666666666667,-87.68412908333333333333333333
school,41.95789957142857142857142857,-87.7027322
school,41.95830938,-87.73374298
library,41.92481222,-87.65543463
parking,41.92263758,-87.65405786
parking,42.01230327142857142857142857,-87.69945424285714285714285714
bureau_de_change,42.01222204,-87.69954624
school,41.95131758,-87.66509408
school,41.9493297,-87.6865651
school,41.9531565,-87.68424738571428571428571429
school,41.94503328888888888888888889,-87.69096174444444444444444444
school,41.95154328,-87.70602156
school,41.95069066,-87.71068416
school,41.9496071,-87.71698622
school,41.94274727142857142857142857,-87.65714551428571428571428571
school,41.9456717625,-87.6814387625
school,41.92299874,-87.65785406
parking,41.92314380476190476190476190,-87.66740914761904761904761905
parking,42.02041788571428571428571429,-87.75086901428571428571428571
parking,42.03264943333333333333333333,-87.75466772222222222222222222
university,41.877930916,-87.62622848
library,41.87620774,-87.62827386
school,41.83170831666666666666666667,-87.62447763333333333333333333
parking,41.86673700833333333333333333,-87.62655255833333333333333333
parking,41.88935952,-87.68818666
parking,41.86778885,-87.64970923333333333333333333
parking,41.9299542,-87.68936135
school,42.0260820,-87.6872464
parking,41.9269440875,-87.7816171875
parking,41.92433962222222222222222222,-87.78213118148148148148148148
hospital,41.98760598333333333333333333,-87.81451588333333333333333333
parking,41.98902485454545454545454545,-87.81508822727272727272727273
parking,41.98820226,-87.8159498
parking,41.9879234,-87.81252534444444444444444444
parking,41.98691295,-87.81513558333333333333333333
school,41.92207595454545454545454545,-87.83110628181818181818181818
school,42.03286045555555555555555556,-87.7172736
parking,42.00863982222222222222222222,-87.71212154444444444444444444
parking,42.00826425416666666666666667,-87.71284505833333333333333333
restaurant,42.01148881428571428571428571,-87.71252894285714285714285714
restaurant,42.01101528,-87.71203256
parking,42.01142461666666666666666667,-87.71255780555555555555555556
parking,42.01053760714285714285714286,-87.71195187857142857142857143
parking,41.9549743875,-87.65299745625
school,41.91080317142857142857142857,-87.63103237142857142857142857
school,41.9104493,-87.62981046
parking,41.97608284,-87.72904228
grave_yard,41.87530592567567567567567568,-87.82522698918918918918918919
grave_yard,41.85500642068965517241379310,-87.91032851379310344827586207
grave_yard,41.86629731666666666666666667,-87.91011617083333333333333333
school,41.90190315,-87.64040496666666666666666667
place_of_worship,41.90078541,-87.64377586
hospital,41.9366833625,-87.65136796875
school,41.85918150909090909090909091,-87.65703135454545454545454545
school,41.85905802,-87.65737488
library,41.96258142916666666666666667,-87.68425002083333333333333333
parking,41.95883773846153846153846154,-87.68285803076923076923076923
hospital,41.9034348,-87.68362928
school,41.92557948421052631578947368,-87.88843128421052631578947368
school,41.92971361428571428571428571,-87.88631804285714285714285714
school,41.92958942,-87.8850605
school,41.92721987222222222222222222,-87.90671993333333333333333333
school,41.92836666,-87.9075415
grave_yard,41.92365892,-87.90802965
school,41.91899256,-87.89799094
school,41.92040646923076923076923077,-87.87569847692307692307692308
bank,41.95391004,-87.67826798
pharmacy,41.9556350,-87.6793668
parking,41.9558020,-87.67947581428571428571428571
pub,41.94887708888888888888888889,-87.65412562222222222222222222
parking,41.94927108571428571428571429,-87.65721381428571428571428571
parking,41.9500514,-87.67546054615384615384615385
parking,41.929222475,-87.6545237
parking,41.92119221111111111111111111,-87.6656915
pharmacy,41.91146246,-87.6342499
school,41.93950674,-87.7532609
parking,41.97743511428571428571428571,-87.69215964285714285714285714
arts_centre,41.96937232,-87.65807982
parking,42.0191575,-87.73768648
parking,41.83734936176470588235294118,-87.83505286176470588235294118
parking,41.83462708421052631578947368,-87.83107316315789473684210526
parking,41.83024726842105263157894737,-87.83311627368421052631578947
fast_food,41.83218802,-87.83780778
parking,41.96162348,-87.67937808
fountain,41.832651053125,-87.83343393125
parking,41.97927230476190476190476190,-87.71956524761904761904761905
parking,41.98114238235294117647058824,-87.72031954117647058823529412
parking,41.9823865,-87.72006574166666666666666667
grave_yard,41.9861097,-87.8498954
school,42.00103646875,-87.854373565625
place_of_worship,41.85655752,-87.6592414
place_of_worship,41.85582194736842105263157895,-87.66564645263157894736842105
school,41.85169583333333333333333333,-87.67272677777777777777777778
place_of_worship,41.79818167647058823529411765,-87.86716046470588235294117647
parking,42.01867315217391304347826087,-87.67528712608695652173913043
school,42.01870782,-87.75857456
parking,41.98772456666666666666666667,-87.70018868888888888888888889
hospital,42.02433975454545454545454545,-87.68303285454545454545454545
parking,42.02382944285714285714285714,-87.68333542857142857142857143
parking,42.02479890909090909090909091,-87.68204131818181818181818182
parking,42.02573368888888888888888889,-87.68334978888888888888888889
school,42.02605977333333333333333333,-87.69335209333333333333333333
school,41.77485492,-87.70932494
school,41.78393068,-87.68813794
school,41.78724752,-87.70776758
school,41.79836958,-87.7056410
school,41.80162102,-87.68620422
school,41.79721998,-87.66903518
school,41.77502716,-87.6696845
restaurant,41.9975462,-87.71525087142857142857142857
parking,42.00724919393939393939393939,-87.71661011515151515151515152
place_of_worship,42.02289342,-87.75234672
parking,42.01989842727272727272727273,-87.74676575454545454545454545
place_of_worship,42.00797066666666666666666667,-87.77742536666666666666666667
school,42.00811160909090909090909091,-87.77797027272727272727272727
school,42.01082966153846153846153846,-87.76072745384615384615384615
college,42.0105630,-87.7594695375
