Indicator,Latitude,Longitude
parking,33.9468241625,-118.397866475
parking,34.09546125454545454545454545,-118.2036704090909090909090909
parking,34.14844053877551020408163265,-118.2833758612244897959183673
parking,34.1482881625,-118.2818958583333333333333333
parking,34.12342678235294117647058824,-118.4092012411764705882352941
parking,33.90341773333333333333333333,-118.4213017666666666666666667
parking,33.94430127391304347826086957,-118.4072975869565217391304348
parking,34.19606446363636363636363636,-118.3529861727272727272727273
parking,34.15416357142857142857142857,-118.1663907214285714285714286
parking,34.01435604,-118.4959577
school,33.99222587142857142857142857,-118.4004050285714285714285714
parking,33.88427351818181818181818182,-118.4118650636363636363636364
school,33.97288559090909090909090909,-118.4058846045454545454545455
university,33.968057765,-118.4205400675
school,33.96816877058823529411764706,-118.4041905529411764705882353
school,33.96180714,-118.40520965
school,34.04770588,-118.531294345
parking,34.0110388625,-118.4977012291666666666666667
school,33.98652019333333333333333333,-118.4199037266666666666666667
parking,33.93612876,-118.4383883
parking,33.93319738,-118.4369254
parking,34.098936005,-118.714343735
parking,34.09776624444444444444444444,-118.7136365222222222222222222
parking,34.09918036,-118.7128152
parking,34.09717385,-118.716043325
parking,34.02439582,-118.3952800
parking,34.02352146,-118.3958720
school,34.0221587,-118.3923962142857142857142857
post_office,33.97134744,-118.37954088
school,33.96749797692307692307692308,-118.3776908615384615384615385
parking,34.1820702,-118.7694654571428571428571429
parking,34.1861334,-118.7713654857142857142857143
parking,34.18491848571428571428571429,-118.7705272428571428571428571
studio,34.05257251,-118.4130150833333333333333333
parking,34.14047229722222222222222222,-118.362844675
theatre,34.05780637826086956521739130,-118.2477776826086956521739130
theatre,34.0583082,-118.24734982
parking,34.10687138,-118.41517652
parking,33.973359825,-118.243059225
parking,34.08121450555555555555555556,-118.2206022388888888888888889
parking,34.08707178888888888888888889,-118.2129237222222222222222222
parking,34.064669075,-118.171316975
grave_yard,34.08870788064516129032258065,-118.3193637290322580645161290
parking,33.90134024545454545454545455,-118.4176873363636363636363636
cinema,33.90341362727272727272727273,-118.3889740818181818181818182
parking,33.90241341666666666666666667,-118.38954535
townhall,34.02141498,-118.39554314
hospital,33.98222820666666666666666667,-118.4393083866666666666666667
parking,34.13185845909090909090909091,-118.2835842954545454545454545
parking,33.98995868333333333333333333,-118.36661225
parking,33.9909265,-118.36470272
parking,33.76363015,-118.196354235
parking,33.76526591686746987951807229,-118.1962275445783132530120482
place_of_worship,33.77016535526315789473684211,-118.1954478631578947368421053
townhall,33.76811566666666666666666667,-118.1956171388888888888888889
police,33.76895129090909090909090909,-118.1972599454545454545454545
fire_station,33.76870113636363636363636364,-118.1974147181818181818181818
parking,33.77252073333333333333333333,-118.1918222833333333333333333
parking,33.77347965789473684210526316,-118.1913505052631578947368421
parking,33.76267200909090909090909091,-118.1653289545454545454545455
parking,33.79954485555555555555555556,-118.1651717444444444444444444
parking,33.797723936,-118.157363336
parking,33.80672237142857142857142857,-118.1888589142857142857142857
parking,33.8077039875,-118.1878789
parking,33.9603370875,-118.4515079875
parking,33.96244034285714285714285714,-118.4535729714285714285714286
parking,33.96275105,-118.4529746375
school,34.02890401428571428571428571,-118.3778401857142857142857143
parking,34.17993607586206896551724138,-118.4722263137931034482758621
parking,34.17972435,-118.4793664833333333333333333
parking,34.17948501111111111111111111,-118.4768799888888888888888889
parking,33.921826515,-118.4108740
parking,34.04434234,-118.55790706
parking,34.04528586666666666666666667,-118.5589102
parking,34.04706035714285714285714286,-118.5599869
parking,33.96147478333333333333333333,-118.4383320166666666666666667
school,33.95787871333333333333333333,-118.4278735466666666666666667
parking,33.95907872,-118.4175795
parking,33.95956474285714285714285714,-118.4149171857142857142857143
grave_yard,34.02258090555555555555555556,-118.1760637222222222222222222
parking,33.91682465714285714285714286,-118.4285479571428571428571429
parking,33.88414086,-118.41132204
college,34.08689556111111111111111111,-118.2931805611111111111111111
college,34.01668405652173913043478261,-118.4704087304347826086956522
cemetery,34.01822905,-118.476105875
parking,34.01822702,-118.4978706
parking,34.0170551,-118.496474975
parking,34.01531748333333333333333333,-118.49436335
parking,34.0627990,-118.29951666
school,34.11999921739130434782608696,-118.4644513304347826086956522
post_office,34.05804037567567567567567568,-118.2355754466216216216216216
parking,34.07404595217391304347826087,-118.4429353173913043478260870
school,34.0110877125,-118.25140195
school,34.09927485,-118.3404665833333333333333333
parking,34.15726431176470588235294118,-118.1693131882352941176470588
parking,34.16267400714285714285714286,-118.1664629571428571428571429
parking,34.16061689090909090909090909,-118.1655097818181818181818182
parking,34.15880566285714285714285714,-118.1680019971428571428571429
parking,34.282723675,-118.210007225
parking,34.29510754,-118.2374818
parking,34.27044927142857142857142857,-118.1531897142857142857142857
parking,34.27298257,-118.16004414
parking,34.26052446923076923076923077,-118.1922079461538461538461538
parking,34.22879342,-118.1828997866666666666666667
parking,34.233733475,-118.1838251375
parking,34.29725868571428571428571429,-118.1698586571428571428571429
prison,34.28965624666666666666666667,-118.2892388533333333333333333
prison,34.37911368717948717948717949,-118.1520425589743589743589744
parking,34.26959815555555555555555556,-118.1685410777777777777777778
parking,34.30318965454545454545454545,-118.2639008909090909090909091
parking,34.3035350,-118.2596454923076923076923077
parking,34.29532692,-118.24137174
parking,34.29430866,-118.23993664
parking,34.29395268,-118.23911612
parking,34.09512222,-118.64887622
theatre,34.20681074285714285714285714,-118.3102307571428571428571429
parking,34.20540244705882352941176471,-118.3072063147058823529411765
parking,34.204601509375,-118.309057109375
parking,34.08396416111111111111111111,-118.3199042277777777777777778
parking,34.08537550833333333333333333,-118.3200897
parking,34.0850203875,-118.3200208625
parking,34.0848643,-118.3193087461538461538461538
parking,34.08392103076923076923076923,-118.3192544
parking,34.07429532,-118.38137802
fuel,34.0717052875,-118.40089805
school,34.17691858,-118.5238683866666666666666667
school,34.17717582,-118.52839418
school,34.26275429375,-118.31490839375
restaurant,34.25445476666666666666666667,-118.2974732333333333333333333
school,34.26904439545454545454545455,-118.3039214136363636363636364
school,34.26546507777777777777777778,-118.2995234777777777777777778
school,34.26075832941176470588235294,-118.2998155235294117647058824
fuel,34.2594433,-118.31112705
fuel,34.2594547,-118.3160010285714285714285714
fuel,34.26000607142857142857142857,-118.3181959714285714285714286
fast_food,34.25941137142857142857142857,-118.3044747
fast_food,34.2598847875,-118.3046215875
fast_food,34.26006855,-118.3131541
fuel,34.25947736428571428571428571,-118.3196523428571428571428571
place_of_worship,34.262137225,-118.31527945
parking,34.2341315,-118.2912277285714285714285714
parking,34.23394045555555555555555556,-118.2915515666666666666666667
school,34.25522118888888888888888889,-118.3075340
school,34.25321058181818181818181818,-118.2852826272727272727272727
place_of_worship,34.26393906666666666666666667,-118.3064380444444444444444444
bank,34.25942206,-118.30245028
fuel,34.25626392857142857142857143,-118.2993095285714285714285714
parking,34.23319173571428571428571429,-118.3116966571428571428571429
restaurant,34.26176331111111111111111111,-118.3239841333333333333333333
school,34.24845043333333333333333333,-118.2724000190476190476190476
parking,34.23350133076923076923076923,-118.3053167538461538461538462
bank,34.2292816375,-118.247678775
school,34.22265204,-118.24247815
parking,33.71224284375,-118.2848912
parking,34.18256801875,-118.27703190625
parking,34.18187787142857142857142857,-118.2773232428571428571428571
parking,33.70880505555555555555555556,-118.2795062777777777777777778
