name,MultiGeometry/Point/coordinates
Stony Island,"-87.586850,41.766010,0.000000"
Bryn Mawr,"-87.576997,41.766115,0.000000"
South Shore,"-87.565714,41.765243,0.000000"
Windsor Park,"-87.559629,41.758508,0.000000"
Cheltenham,"-87.552852,41.752321,0.000000"
83rd St.,"-87.551556,41.745013,0.000000"
87th St.,"-87.548168,41.737748,0.000000"
91st St.,"-87.547785,41.727437,0.000000"
Hegewisch,"-87.546236,41.648272,0.000000"
State St.,"-87.621606,41.674434,0.000000"
Stewart Ridge,"-87.631611,41.674323,0.000000"
West Pullman,"-87.642247,41.674215,0.000000"
Racine Ave.,"-87.652157,41.674114,0.000000"
Ashland Ave.,"-87.660623,41.669434,0.000000"
Burr Oak,"-87.668787,41.662326,0.000000"
Blue Island,"-87.676126,41.655696,0.000000"
Millenium Station,"-87.623087,41.884366,0.000000"
Van Buren St.,"-87.622812,41.876998,0.000000"
Museum Campus,"-87.621420,41.868392,0.000000"
18th St.,"-87.618034,41.857731,0.000000"
McCormick Place,"-87.616142,41.850942,0.000000"
27th St.,"-87.613436,41.844263,0.000000"
47th St.,"-87.590850,41.809525,0.000000"
53rd St.,"-87.586787,41.799917,0.000000"
55th-56th-57th St.,"-87.587498,41.792842,0.000000"
59th St.,"-87.588766,41.787003,0.000000"
63rd St.,"-87.590404,41.779883,0.000000"
75th St.,"-87.595159,41.758912,0.000000"
79th St.,"-87.596987,41.750827,0.000000"
83rd St.,"-87.598333,41.744317,0.000000"
87th St.,"-87.599952,41.737415,0.000000"
91st St.,"-87.601754,41.729752,0.000000"
95th St.,"-87.603675,41.721417,0.000000"
103rd St.,"-87.607007,41.706967,0.000000"
107th St.,"-87.608658,41.699840,0.000000"
111th St.,"-87.610215,41.693097,0.000000"
Kensington,"-87.611834,41.686030,0.000000"
Riverdale,"-87.623295,41.646329,0.000000"
Ivanhoe,"-87.630069,41.633745,0.000000"
147th St.,"-87.635940,41.623006,0.000000"
Harvey,"-87.643535,41.608927,0.000000"
Hazel Crest,"-87.658505,41.580838,0.000000"
Calumet,"-87.662830,41.572739,0.000000"
Homewood,"-87.668355,41.562373,0.000000"
Flossmoor,"-87.678520,41.543301,0.000000"
Olympia Fields,"-87.690411,41.521043,0.000000"
